kind,backend_path,route_or_event,ui_consumer_match,status
route,api/v1/jobs.py,/{job_id},Y,wired
route,api/v1/jobs.py,/{job_id},Y,wired
route,api/v1/jobs.py,/validate,N,DANGLING
route,api/v1/main.py,/health,Y,wired
route,api/v1/main.py,/readiness,N,DANGLING
route,api/v1/main.py,/v1/auth/token,N,DANGLING
route,api/v1/main.py,/v1/auth/refresh,N,DANGLING
route,api/v1/main.py,/v1/auth/revoke,N,DANGLING
route,api/v1/resources.py,/clusters,N,DANGLING
route,api/v1/resources.py,/quotas,N,DANGLING
route,api/v1/results.py,/jobs/{job_id}/results,N,DANGLING
route,api/v1/results.py,/jobs/{job_id}/artifacts,N,DANGLING
route,api/v1/results.py,/jobs/{job_id}/artifacts/{artifact_id},N,DANGLING
route,api/v1/results.py,/jobs/{job_id}/visualization,N,DANGLING
route,api/v1/status.py,/jobs/{job_id}/status,N,DANGLING
route,autonomous_systems_platform/services/backend/app.py,/health,Y,wired
route,autonomous_systems_platform/services/backend/app.py,/kernel,Y,wired
route,autonomous_systems_platform/services/backend/app.py,/metrics,Y,wired
route,cinematic_control_plane.py,/,Y,wired
route,cinematic_control_plane.py,/api/status,Y,wired
route,docker/qratum/api_server.py,/,Y,wired
route,docker/qratum/api_server.py,/health,Y,wired
route,docker/qratum/api_server.py,/api/v1/verticals,N,DANGLING
route,docker/qratum/api_server.py,/api/v1/vertical/{vertical_id},N,DANGLING
route,docker/qratum/api_server.py,/api/v1/vertical/execute,N,DANGLING
route,docker/qratum/api_server.py,/api/v1/synthesis/execute,N,DANGLING
route,docker/qratum/api_server.py,/api/v1/synthesis/verify/{chain_id},N,DANGLING
route,docker/qratum/api_server.py,/api/v1/stats,N,DANGLING
route,integrations/services/quasim-api/server.py,/health,Y,wired
route,integrations/services/quasim-api/server.py,/readiness,N,DANGLING
route,integrations/services/quasim-api/server.py,/jobs/submit,N,DANGLING
route,integrations/services/quasim-api/server.py,/jobs/{job_id}/status,N,DANGLING
route,integrations/services/quasim-api/server.py,/jobs/{job_id}/cancel,Y,wired
route,integrations/services/quasim-api/server.py,/artifacts/{artifact_id},N,DANGLING
route,integrations/services/quasim-api/server.py,/metrics,Y,wired
route,integrations/services/quasim-api/server.py,/profiles,N,DANGLING
route,integrations/services/quasim-api/server.py,/validate,N,DANGLING
route,qratum_ai_platform/services/model_server/app.py,/health,Y,wired
route,qratum_ai_platform/services/model_server/app.py,/predict,N,DANGLING
route,qratum_ai_platform/services/model_server/app.py,/,Y,wired
route,qratum_ai_platform/services/orchestrator/app.py,/health,Y,wired
route,qratum_ai_platform/services/orchestrator/app.py,/route,N,DANGLING
