route,handler,consumer,status
"qagents.adapters.qratum","make_qratum_controller","RealityInterfaceController","wired"
"qagents.adapters.ciir","make_ciir_controller","RealityInterfaceController","wired"
"qagents.adapters.crs","make_crs_controller","RealityInterfaceController","wired"
"qagents.ciir_crs_ric.executor","run_step","RICStrictExecutor","wired"
"qagents.mvri.loop","run_mvri_loop","MVRILoop","wired"
"qagents.realworld_bridge.control_loop","ControlLoop.run","SafetyGate","wired"
"qagents.control_geometry.policy_optimizer","select_action","ControlPolicy","wired"
"qagents.trajectory_controller.controller","TrajectoryController.step","TrajectoryPlanner","wired"
"qagents.reality_interface_v2","RICv2Controller.decide","CIIRRICBridge(use_v2=True)","wired"
"quasim.ciir.plasma.engine","run_reconnection_control","ReconnectionController","wired"
"quasim.ciir.multi_qubit.controller","MultiQubitController.run","DensityMatrix","wired"
"quasim.ciir.multi_qubit.analysis.falsification","FalsificationProtocol.run","run_falsification.py","wired"
"run_multi_qubit_ciir","main()","MultiQubitController","wired"
"run_falsification","main()","FalsificationProtocol","wired"
"run_ric_ciir","main()","CIIRRICBridge","wired"
"qagents.llm_backends","DeterministicLLM.complete","RealityInterfaceController","wired"
"qagents.ciir_ric_bridge","CIIRRICBridge.step","RICv1/v2Controller","wired"
"quasim.quantum.vqe_molecule","VQEMolecule.compute_energy(H2)","VQE solver","wired"
"quasim.quantum.vqe_molecule","VQEMolecule.compute_energy(LiH)","VQE solver","deferred:ValueError"
"quasim.quantum.vqe_molecule","VQEMolecule.compute_energy(BeH2)","VQE solver","deferred:ValueError"
"quasim.quantum.core","cuQuantum backend","GPU path","deferred:ValueError"
"qcore.hamiltonian","Hamiltonian.energy()","quantum solver","stub:returns 0.0"
"qos.policy","QoSPolicy.enforce()","QoS subsystem","stub:returns True"
"qreal.base_adapter","BaseAdapter._normalize()","real-world adapter","stub:returns {}"
"qstack.alignment.policies","AlignmentPolicy.evaluate()","alignment engine","stub:returns []"
"quasim.hcal.backends","HCALBackend.device_exists()","HCAL controller","stub:returns False"
