module	role	sample	timepoint_hours	activity
maternal	maternal	t0_rep1	0.0	100.5000
maternal	maternal	t0_rep2	0.0	99.5000
maternal	maternal	t6_rep1	6.0	79.5000
maternal	maternal	t6_rep2	6.0	76.5000
maternal	maternal	t12_rep1	12.0	56.0000
maternal	maternal	t12_rep2	12.0	53.3333
maternal	maternal	t17_rep1	17.0	33.5000
maternal	maternal	t17_rep2	17.0	32.6667
polya	polya	t0_rep1	0.0	49.5000
polya	polya	t0_rep2	0.0	49.5000
polya	polya	t6_rep1	6.0	50.5000
polya	polya	t6_rep2	6.0	50.5000
polya	polya	t12_rep1	12.0	50.0000
polya	polya	t12_rep2	12.0	50.0000
polya	polya	t17_rep1	17.0	50.0000
polya	polya	t17_rep2	17.0	50.0000
zygotic	zygotic	t0_rep1	0.0	5.2000
zygotic	zygotic	t0_rep2	0.0	5.4000
zygotic	zygotic	t6_rep1	6.0	23.4000
zygotic	zygotic	t6_rep2	6.0	23.8000
zygotic	zygotic	t12_rep1	12.0	44.6000
zygotic	zygotic	t12_rep2	12.0	45.0000
zygotic	zygotic	t17_rep1	17.0	65.6000
zygotic	zygotic	t17_rep2	17.0	66.0000
