Gene	t0_rep1	t0_rep2	t6_rep1	t6_rep2	t12_rep1	t12_rep2	t17_rep1	t17_rep2
Zar1	101.0000	99.0000	79.0000	77.0000	56.0000	54.0000	34.0000	33.0000
Npm2	103.0000	97.0000	81.0000	75.0000	58.0000	52.0000	33.0000	32.0000
Zp3	100.0000	100.0000	78.0000	76.0000	55.0000	53.0000	34.0000	33.0000
Bnc1	98.0000	102.0000	80.0000	74.0000	57.0000	51.0000	32.0000	34.0000
H1foo	102.0000	98.0000	77.0000	79.0000	54.0000	56.0000	33.0000	33.0000
Nlrp5	99.0000	101.0000	82.0000	78.0000	56.0000	54.0000	35.0000	31.0000
Zscan4d	5.0000	6.0000	23.0000	25.0000	44.0000	46.0000	65.0000	67.0000
Dux	6.0000	5.0000	24.0000	22.0000	45.0000	43.0000	66.0000	68.0000
Zfp352	5.0000	5.0000	22.0000	24.0000	46.0000	44.0000	67.0000	65.0000
Tcstv1	4.0000	6.0000	25.0000	23.0000	43.0000	45.0000	64.0000	66.0000
Tcstv3	6.0000	5.0000	23.0000	25.0000	45.0000	47.0000	66.0000	64.0000
Hist1h1a	50.0000	49.0000	51.0000	50.0000	49.0000	51.0000	50.0000	50.0000
Hist1h2ab	49.0000	50.0000	50.0000	51.0000	51.0000	49.0000	50.0000	50.0000
