Gene	t0h	t6h	t12h	t17h
Gene_MAT_000	140.183	129.353	56.858	39.162
Gene_MAT_001	200.108	130.921	58.755	57.073
Gene_MAT_002	117.942	74.666	37.044	37.675
Gene_MAT_003	88.737	50.394	28.550	27.819
Gene_MAT_004	146.992	135.615	47.976	51.065
Gene_MAT_005	85.519	58.476	25.230	28.105
Gene_MAT_006	151.856	104.502	42.592	58.885
Gene_MAT_007	77.080	47.976	20.617	28.691
Gene_MAT_008	124.989	72.825	35.879	39.199
Gene_MAT_009	105.438	67.464	30.824	31.398
Gene_MAT_010	183.951	91.917	47.994	52.061
Gene_MAT_011	129.727	115.957	35.321	51.655
Gene_MAT_012	128.015	96.653	43.991	49.722
Gene_MAT_013	90.592	62.274	32.368	30.950
Gene_MAT_014	147.750	107.422	57.386	60.604
Gene_MAT_015	139.720	106.986	48.989	47.453
Gene_MAT_016	155.015	113.911	48.674	47.077
Gene_MAT_017	110.883	83.654	38.365	42.424
Gene_MAT_018	115.196	76.650	34.658	29.110
Gene_MAT_019	50.619	37.591	20.080	18.190
Gene_MAT_020	107.397	59.554	29.947	25.764
Gene_MAT_021	77.892	60.352	30.686	22.434
Gene_MAT_022	99.313	61.143	22.528	32.310
Gene_MAT_023	163.431	110.906	58.759	50.750
Gene_MAT_024	64.352	45.314	22.633	23.506
Gene_MAT_025	87.412	41.228	19.440	20.572
Gene_MAT_026	108.835	105.159	39.776	35.633
Gene_MAT_027	128.099	96.409	47.697	58.607
Gene_MAT_028	162.372	90.787	59.499	55.808
Gene_MAT_029	116.339	87.777	44.575	43.706
Gene_MAT_030	60.002	37.235	19.757	23.488
Gene_MAT_031	162.157	127.746	44.141	43.593
Gene_MAT_032	49.562	51.357	14.628	20.869
Gene_MAT_033	111.205	72.243	28.584	32.325
Gene_MAT_034	203.147	124.188	46.621	51.302
Gene_MAT_035	227.276	131.713	54.144	63.877
Gene_MAT_036	100.594	63.970	34.065	34.551
Gene_MAT_037	166.472	92.582	38.631	67.380
